"id_policy","id_client","id_vehicle","id_claim","id_year","claim_amount","claim_nb"
"A00000320-V02","A00000320","V02","CL01","Year 0",830.51,1
"A00000331-V03","A00000331","V03","CL01","Year 0",-124.36,1
"A00000340-V01","A00000340","V01","CL01","Year 0",-19.35,1
"A00000350-V01","A00000350","V01","CL01","Year 0",1070.92,1
"A00000356-V02","A00000356","V02","CL01","Year 0",4.47,1
"A00000356-V03","A00000356","V03","CL01","Year 0",106.63,1
"A00000360-V02","A00000360","V02","CL01","Year 0",2570,1
"A00000363-V01","A00000363","V01","CL01","Year 0",-12.68,1
"A00000368-V03","A00000368","V03","CL01","Year 0",388.78,1
"A00000372-V01","A00000372","V01","CL01","Year 0",1561.71,1
"A00000396-V01","A00000396","V01","CL01","Year 0",12.33,1
"A00000406-V01","A00000406","V01","CL01","Year 0",324.23,1
"A00000412-V01","A00000412","V01","CL01","Year 0",166.44,1
"A00000420-V01","A00000420","V01","CL01","Year 0",-46.09,1
"A00000425-V03","A00000425","V03","CL01","Year 0",1171.82,1
"A00000425-V03","A00000425","V03","CL02","Year 0",1258.71,1
"A00000431-V01","A00000431","V01","CL01","Year 0",485.99,1
"A00000436-V01","A00000436","V01","CL01","Year 0",-1.59,1
"A00000455-V01","A00000455","V01","CL01","Year 0",99.32,1
"A00000456-V02","A00000456","V02","CL01","Year 0",485.37,1
"A00000456-V02","A00000456","V02","CL02","Year 0",334.08,1
"A00000456-V02","A00000456","V02","CL03","Year 0",194.83,1
"A00000465-V01","A00000465","V01","CL01","Year 0",405.66,1
"A00000468-V01","A00000468","V01","CL01","Year 0",2258.98,1
"A00000468-V01","A00000468","V01","CL02","Year 0",10769.21,1
"A00000470-V01","A00000470","V01","CL01","Year 0",920.13,1
"A00000470-V03","A00000470","V03","CL01","Year 0",136.32,1
"A00000475-V01","A00000475","V01","CL01","Year 0",8500.8,1
"A00000480-V02","A00000480","V02","CL01","Year 0",182.71,1
"A00000481-V02","A00000481","V02","CL01","Year 0",3176.49,1
"A00000481-V02","A00000481","V02","CL02","Year 0",251.55,1
"A00000485-V01","A00000485","V01","CL01","Year 0",366.26,1
"A00000487-V01","A00000487","V01","CL01","Year 0",389.17,1
"A00000487-V01","A00000487","V01","CL02","Year 0",401.22,1
"A00000487-V01","A00000487","V01","CL03","Year 0",4.23,1
"A00000499-V01","A00000499","V01","CL01","Year 0",1028.26,1
"A00000500-V02","A00000500","V02","CL01","Year 0",993.72,1
"A00000500-V02","A00000500","V02","CL02","Year 0",71.52,1
"A00000514-V01","A00000514","V01","CL01","Year 0",197.4,1
"A00000531-V01","A00000531","V01","CL01","Year 0",26.34,1
"A00000548-V01","A00000548","V01","CL01","Year 0",79.63,1
"A00000548-V01","A00000548","V01","CL02","Year 0",1280.26,1
"A00000556-V01","A00000556","V01","CL01","Year 0",223.7,1
"A00000571-V01","A00000571","V01","CL01","Year 0",177.64,1
"A00000575-V01","A00000575","V01","CL01","Year 0",257.1,1
"A00000578-V01","A00000578","V01","CL01","Year 0",33.17,1
"A00000582-V02","A00000582","V02","CL01","Year 0",224.46,1
"A00000601-V03","A00000601","V03","CL01","Year 0",291.36,1
"A00000607-V01","A00000607","V01","CL01","Year 0",4096.8,1
"A00000615-V01","A00000615","V01","CL01","Year 0",153.8,1
"A00000623-V01","A00000623","V01","CL01","Year 0",58.17,1
"A00000637-V01","A00000637","V01","CL01","Year 0",686.27,1
"A00000638-V02","A00000638","V02","CL01","Year 0",1444.11,1
"A00000645-V01","A00000645","V01","CL01","Year 0",25.92,1
"A00000671-V01","A00000671","V01","CL01","Year 0",15.27,1
"A00000677-V03","A00000677","V03","CL01","Year 0",497.95,1
"A00000688-V01","A00000688","V01","CL01","Year 0",1849.79,1
"A00000689-V01","A00000689","V01","CL01","Year 0",461.63,1
"A00000695-V01","A00000695","V01","CL01","Year 0",105.68,1
"A00000698-V01","A00000698","V01","CL01","Year 0",68.96,1
"A00000699-V02","A00000699","V02","CL01","Year 0",101.65,1
"A00000709-V02","A00000709","V02","CL01","Year 0",486.58,1
"A00000718-V02","A00000718","V02","CL01","Year 0",1060.41,1
"A00000720-V01","A00000720","V01","CL01","Year 0",-326.25,1
"A00000720-V01","A00000720","V01","CL02","Year 0",470.48,1
"A00000723-V01","A00000723","V01","CL01","Year 0",80.47,1
"A00000726-V02","A00000726","V02","CL01","Year 0",305.21,1
"A00000726-V02","A00000726","V02","CL02","Year 0",-785.05,1
"A00000726-V03","A00000726","V03","CL01","Year 0",120.15,1
"A00000736-V01","A00000736","V01","CL01","Year 0",-193.59,1
"A00000738-V02","A00000738","V02","CL01","Year 0",526.48,1
"A00000742-V01","A00000742","V01","CL01","Year 0",39.61,1
"A00000749-V01","A00000749","V01","CL01","Year 0",2132.52,1
"A00000753-V01","A00000753","V01","CL01","Year 0",354.72,1
"A00000753-V02","A00000753","V02","CL01","Year 0",2273.44,1
"A00000762-V01","A00000762","V01","CL01","Year 0",2270.41,1
"A00000767-V01","A00000767","V01","CL01","Year 0",511.04,1
"A00000774-V02","A00000774","V02","CL01","Year 0",190.1,1
"A00000779-V01","A00000779","V01","CL01","Year 0",37.74,1
"A00000787-V01","A00000787","V01","CL01","Year 0",112.35,1
"A00000788-V01","A00000788","V01","CL01","Year 0",76.15,1
"A00000789-V03","A00000789","V03","CL01","Year 0",306.56,1
"A00000791-V01","A00000791","V01","CL01","Year 0",32.77,1
"A00000791-V02","A00000791","V02","CL01","Year 0",219.44,1
"A00000795-V01","A00000795","V01","CL01","Year 0",16.42,1
"A00000795-V03","A00000795","V03","CL01","Year 0",13.02,1
"A00000799-V01","A00000799","V01","CL01","Year 0",2762.66,1
"A00000799-V03","A00000799","V03","CL01","Year 0",39.46,1
"A00000802-V01","A00000802","V01","CL01","Year 0",164.21,1
"A00000803-V01","A00000803","V01","CL01","Year 0",3416,1
"A00000805-V02","A00000805","V02","CL01","Year 0",159.17,1
"A00000813-V04","A00000813","V04","CL01","Year 0",11.64,1
"A00000814-V01","A00000814","V01","CL01","Year 0",947.92,1
"A00000817-V01","A00000817","V01","CL01","Year 0",-988.03,1
"A00000825-V01","A00000825","V01","CL01","Year 0",701.58,1
"A00000828-V04","A00000828","V04","CL01","Year 0",609.97,1
"A00000832-V03","A00000832","V03","CL01","Year 0",223.36,1
"A00000834-V01","A00000834","V01","CL01","Year 0",54.25,1
"A00000838-V01","A00000838","V01","CL01","Year 0",217.13,1
"A00000840-V01","A00000840","V01","CL01","Year 0",160.79,1
"A00000843-V04","A00000843","V04","CL01","Year 0",250.34,1
"A00000853-V01","A00000853","V01","CL01","Year 0",2083.28,1
"A00000875-V01","A00000875","V01","CL01","Year 0",270.6,1
"A00000880-V01","A00000880","V01","CL01","Year 0",444.55,1
"A00000890-V02","A00000890","V02","CL01","Year 0",1855.69,1
"A00000898-V02","A00000898","V02","CL01","Year 0",188.21,1
"A00000903-V01","A00000903","V01","CL01","Year 0",754.97,1
"A00000914-V01","A00000914","V01","CL01","Year 0",12.46,1
"A00000919-V01","A00000919","V01","CL01","Year 0",257.21,1
"A00000925-V01","A00000925","V01","CL01","Year 0",296.91,1
"A00000941-V01","A00000941","V01","CL01","Year 0",19.57,1
"A00000941-V02","A00000941","V02","CL01","Year 0",1312.58,1
"A00000941-V02","A00000941","V02","CL02","Year 0",621.61,1
"A00000960-V01","A00000960","V01","CL01","Year 0",405.62,1
"A00000962-V02","A00000962","V02","CL01","Year 0",89.03,1
"A00000962-V03","A00000962","V03","CL01","Year 0",19.24,1
"A00000989-V02","A00000989","V02","CL01","Year 0",653.76,1
"A00000990-V02","A00000990","V02","CL01","Year 0",1549.44,1
"A00000995-V01","A00000995","V01","CL01","Year 0",154.6,1
"A00000996-V01","A00000996","V01","CL01","Year 0",38.46,1
"A00000998-V01","A00000998","V01","CL01","Year 0",788.44,1
"A00001003-V02","A00001003","V02","CL01","Year 0",3885.04,1
"A00001029-V02","A00001029","V02","CL01","Year 0",378.09,1
"A00001034-V02","A00001034","V02","CL01","Year 0",3132.92,1
"A00001049-V01","A00001049","V01","CL01","Year 0",1561.86,1
"A00001069-V01","A00001069","V01","CL01","Year 0",149.85,1
"A00001071-V01","A00001071","V01","CL01","Year 0",576.86,1
"A00001077-V02","A00001077","V02","CL01","Year 0",89.96,1
"A00001095-V01","A00001095","V01","CL01","Year 0",449.84,1
"A00001098-V02","A00001098","V02","CL01","Year 0",108.48,1
"A00001114-V01","A00001114","V01","CL01","Year 0",-21.34,1
"A00001131-V01","A00001131","V01","CL01","Year 0",3367.87,1
"A00001150-V01","A00001150","V01","CL01","Year 0",719.38,1
"A00001168-V01","A00001168","V01","CL01","Year 0",31.12,1
"A00001171-V01","A00001171","V01","CL01","Year 0",1080.74,1
"A00001227-V01","A00001227","V01","CL01","Year 0",-233.76,1
"A00001227-V02","A00001227","V02","CL01","Year 0",580.65,1
"A00001229-V01","A00001229","V01","CL01","Year 0",83.86,1
"A00001233-V01","A00001233","V01","CL01","Year 0",430.23,1
"A00001236-V01","A00001236","V01","CL01","Year 0",138.25,1
"A00001249-V04","A00001249","V04","CL01","Year 0",679.82,1
"A00001268-V02","A00001268","V02","CL01","Year 0",1479.18,1
"A00001273-V04","A00001273","V04","CL01","Year 0",385.9,1
"A00001275-V01","A00001275","V01","CL01","Year 0",312.76,1
"A00001275-V02","A00001275","V02","CL01","Year 0",930.98,1
"A00001279-V02","A00001279","V02","CL01","Year 0",99.42,1
"A00001283-V01","A00001283","V01","CL01","Year 0",509.07,1
"A00001284-V01","A00001284","V01","CL01","Year 0",205.05,1
"A00001285-V02","A00001285","V02","CL01","Year 0",76.09,1
"A00001289-V01","A00001289","V01","CL01","Year 0",69.86,1
"A00001289-V01","A00001289","V01","CL02","Year 0",16.71,1
"A00001316-V01","A00001316","V01","CL01","Year 0",147.92,1
"A00001316-V02","A00001316","V02","CL01","Year 0",561.76,1
"A00001323-V01","A00001323","V01","CL01","Year 0",69.82,1
"A00001328-V01","A00001328","V01","CL01","Year 0",380.09,1
"A00001328-V01","A00001328","V01","CL02","Year 0",29.72,1
"A00001353-V02","A00001353","V02","CL01","Year 0",422.41,1
"A00001359-V02","A00001359","V02","CL01","Year 0",411.79,1
"A00001366-V02","A00001366","V02","CL01","Year 0",655.85,1
"A00001389-V01","A00001389","V01","CL01","Year 0",2082.13,1
"A00001392-V01","A00001392","V01","CL01","Year 0",278.25,1
"A00001446-V01","A00001446","V01","CL01","Year 0",32.6,1
"A00001450-V02","A00001450","V02","CL01","Year 0",1488.69,1
"A00001455-V02","A00001455","V02","CL01","Year 0",145.05,1
"A00001455-V02","A00001455","V02","CL02","Year 0",149.87,1
"A00001455-V04","A00001455","V04","CL01","Year 0",672,1
"A00001455-V04","A00001455","V04","CL02","Year 0",984.79,1
"A00001456-V01","A00001456","V01","CL01","Year 0",81.33,1
"A00001460-V01","A00001460","V01","CL01","Year 0",527.23,1
"A00001463-V04","A00001463","V04","CL01","Year 0",1609.93,1
"A00001466-V01","A00001466","V01","CL01","Year 0",945.15,1
"A00001467-V01","A00001467","V01","CL01","Year 0",1284.34,1
"A00001468-V01","A00001468","V01","CL01","Year 0",153.52,1
"A00001468-V02","A00001468","V02","CL01","Year 0",29.08,1
"A00001468-V03","A00001468","V03","CL01","Year 0",656.9,1
"A00001468-V03","A00001468","V03","CL02","Year 0",41.15,1
"A00001491-V01","A00001491","V01","CL01","Year 0",424.34,1
"A00001503-V01","A00001503","V01","CL01","Year 0",5282.01,1
"A00001503-V02","A00001503","V02","CL01","Year 0",18.34,1
"A00001517-V03","A00001517","V03","CL01","Year 0",119.47,1
"A00001525-V01","A00001525","V01","CL01","Year 0",851.78,1
"A00001527-V01","A00001527","V01","CL01","Year 0",476.27,1
"A00001531-V01","A00001531","V01","CL01","Year 0",2916.72,1
"A00001531-V03","A00001531","V03","CL01","Year 0",903.29,1
"A00001534-V02","A00001534","V02","CL01","Year 0",233.41,1
"A00001551-V01","A00001551","V01","CL01","Year 0",5249.73,1
"A00001551-V01","A00001551","V01","CL02","Year 0",110.4,1
"A00001558-V01","A00001558","V01","CL01","Year 0",29.96,1
"A00001563-V02","A00001563","V02","CL01","Year 0",1243.2,1
"A00001565-V01","A00001565","V01","CL01","Year 0",368.69,1
"A00001565-V01","A00001565","V01","CL02","Year 0",375.08,1
"A00001569-V03","A00001569","V03","CL01","Year 0",678.44,1
"A00001597-V01","A00001597","V01","CL01","Year 0",106.33,1
"A00001608-V01","A00001608","V01","CL01","Year 0",-957.82,1
"A00001612-V01","A00001612","V01","CL01","Year 0",129.78,1
"A00001613-V01","A00001613","V01","CL01","Year 0",930.62,1
"A00001619-V01","A00001619","V01","CL01","Year 0",23.62,1
"A00001628-V01","A00001628","V01","CL01","Year 0",1901.01,1
"A00001634-V02","A00001634","V02","CL01","Year 0",1998.58,1
"A00001646-V01","A00001646","V01","CL01","Year 0",19.34,1
"A00001656-V01","A00001656","V01","CL01","Year 0",14.75,1
"A00001656-V03","A00001656","V03","CL01","Year 0",71.33,1
"A00001656-V03","A00001656","V03","CL02","Year 0",1174.7,1
"A00001664-V02","A00001664","V02","CL01","Year 0",159.94,1
"A00001666-V01","A00001666","V01","CL01","Year 0",139.78,1
"A00001667-V02","A00001667","V02","CL01","Year 0",124.31,1
"A00001679-V01","A00001679","V01","CL01","Year 0",174.01,1
"A00001679-V01","A00001679","V01","CL02","Year 0",143.3,1
"A00001687-V01","A00001687","V01","CL01","Year 0",295.94,1
"A00001713-V01","A00001713","V01","CL01","Year 0",310.24,1
"A00001718-V01","A00001718","V01","CL01","Year 0",50.43,1
"A00001720-V04","A00001720","V04","CL01","Year 0",387.23,1
"A00001738-V02","A00001738","V02","CL01","Year 0",28.64,1
"A00001741-V01","A00001741","V01","CL01","Year 0",374.35,1
"A00001741-V02","A00001741","V02","CL01","Year 0",26.71,1
"A00001750-V01","A00001750","V01","CL01","Year 0",1318.05,1
"A00001758-V02","A00001758","V02","CL01","Year 0",6.6,1
"A00001759-V01","A00001759","V01","CL01","Year 0",1503.23,1
"A00001762-V01","A00001762","V01","CL01","Year 0",3102.06,1
"A00001762-V02","A00001762","V02","CL01","Year 0",604.73,1
"A00001794-V01","A00001794","V01","CL01","Year 0",14.75,1
"A00001796-V01","A00001796","V01","CL01","Year 0",136.86,1
"A00001803-V01","A00001803","V01","CL01","Year 0",132.1,1
"A00001824-V02","A00001824","V02","CL01","Year 0",164.94,1
"A00001824-V03","A00001824","V03","CL01","Year 0",146.1,1
"A00001827-V02","A00001827","V02","CL01","Year 0",319.85,1
"A00001834-V03","A00001834","V03","CL01","Year 0",1247.14,1
"A00001838-V02","A00001838","V02","CL01","Year 0",197.22,1
"A00001839-V01","A00001839","V01","CL01","Year 0",1414.76,1
"A00001840-V01","A00001840","V01","CL01","Year 0",248.4,1
"A00001873-V01","A00001873","V01","CL01","Year 0",439.17,1
"A00001873-V01","A00001873","V01","CL02","Year 0",74.91,1
"A00001873-V02","A00001873","V02","CL01","Year 0",441.79,1
"A00001877-V01","A00001877","V01","CL01","Year 0",284.41,1
"A00001880-V01","A00001880","V01","CL01","Year 0",1533.79,1
"A00001883-V01","A00001883","V01","CL01","Year 0",5591.55,1
"A00001883-V02","A00001883","V02","CL01","Year 0",503.51,1
"A00001884-V01","A00001884","V01","CL01","Year 0",44.28,1
"A00001886-V01","A00001886","V01","CL01","Year 0",324.48,1
"A00001901-V04","A00001901","V04","CL01","Year 0",1979.65,1
"A00001906-V01","A00001906","V01","CL01","Year 0",68.5,1
"A00001908-V01","A00001908","V01","CL01","Year 0",3406.27,1
"A00001919-V02","A00001919","V02","CL01","Year 0",1192.29,1
"A00001919-V02","A00001919","V02","CL02","Year 0",947.19,1
"A00001921-V01","A00001921","V01","CL01","Year 0",52.17,1
"A00001932-V02","A00001932","V02","CL01","Year 0",73.57,1
"A00001945-V02","A00001945","V02","CL01","Year 0",208.44,1
"A00001951-V02","A00001951","V02","CL01","Year 0",79.29,1
"A00001959-V03","A00001959","V03","CL01","Year 0",2562.95,1
"A00001960-V01","A00001960","V01","CL01","Year 0",440.53,1
"A00001960-V03","A00001960","V03","CL01","Year 0",16.92,1
"A00001960-V04","A00001960","V04","CL01","Year 0",121.43,1
"A00001977-V01","A00001977","V01","CL01","Year 0",53.53,1
"A00001991-V02","A00001991","V02","CL01","Year 0",4636.99,1
"A00001998-V01","A00001998","V01","CL01","Year 0",1320.62,1
"A00002008-V02","A00002008","V02","CL01","Year 0",519.24,1
"A00002013-V02","A00002013","V02","CL01","Year 0",11.12,1
"A00002025-V02","A00002025","V02","CL01","Year 0",248.48,1
"A00002025-V02","A00002025","V02","CL02","Year 0",779.42,1
"A00002031-V01","A00002031","V01","CL01","Year 0",21.91,1
"A00002034-V01","A00002034","V01","CL01","Year 0",368.62,1
"A00002037-V01","A00002037","V01","CL01","Year 0",2381.68,1
"A00002046-V01","A00002046","V01","CL01","Year 0",38.7,1
"A00002048-V04","A00002048","V04","CL01","Year 0",1509.37,1
"A00002054-V02","A00002054","V02","CL01","Year 0",1975.62,1
"A00002057-V01","A00002057","V01","CL01","Year 0",282.19,1
"A00002058-V02","A00002058","V02","CL01","Year 0",643.48,1
"A00002058-V02","A00002058","V02","CL02","Year 0",42.89,1
"A00002060-V01","A00002060","V01","CL01","Year 0",4100.55,1
"A00002065-V01","A00002065","V01","CL01","Year 0",285.23,1
"A00002068-V02","A00002068","V02","CL01","Year 0",128.17,1
"A00002070-V01","A00002070","V01","CL01","Year 0",759.14,1
"A00002070-V02","A00002070","V02","CL01","Year 0",147.12,1
"A00002074-V01","A00002074","V01","CL01","Year 0",270.68,1
"A00002081-V01","A00002081","V01","CL01","Year 0",100.68,1
"A00002082-V02","A00002082","V02","CL01","Year 0",269.37,1
"A00002095-V03","A00002095","V03","CL01","Year 0",419.28,1
"A00002112-V01","A00002112","V01","CL01","Year 0",4843.38,1
"A00002115-V01","A00002115","V01","CL01","Year 0",130.51,1
"A00002123-V02","A00002123","V02","CL01","Year 0",206.74,1
"A00002128-V01","A00002128","V01","CL01","Year 0",3246.18,1
"A00002128-V01","A00002128","V01","CL02","Year 0",1095.57,1
"A00002141-V01","A00002141","V01","CL01","Year 0",818.46,1
"A00002141-V02","A00002141","V02","CL01","Year 0",116.72,1
"A00002149-V01","A00002149","V01","CL01","Year 0",203.72,1
"A00002158-V02","A00002158","V02","CL01","Year 0",363.67,1
"A00002169-V02","A00002169","V02","CL01","Year 0",384.38,1
"A00002169-V04","A00002169","V04","CL01","Year 0",1268.98,1
"A00002174-V01","A00002174","V01","CL01","Year 0",318.52,1
"A00002175-V01","A00002175","V01","CL01","Year 0",1015.29,1
"A00002176-V02","A00002176","V02","CL01","Year 0",27.85,1
"A00002176-V03","A00002176","V03","CL01","Year 0",221.92,1
"A00002176-V05","A00002176","V05","CL01","Year 0",567.44,1
"A00002183-V01","A00002183","V01","CL01","Year 0",884.21,1
"A00002185-V01","A00002185","V01","CL01","Year 0",274.78,1
"A00002195-V02","A00002195","V02","CL01","Year 0",464.52,1
"A00002199-V01","A00002199","V01","CL01","Year 0",274.06,1
"A00002209-V02","A00002209","V02","CL01","Year 0",987.03,1
"A00002224-V01","A00002224","V01","CL01","Year 0",101.94,1
"A00002227-V01","A00002227","V01","CL01","Year 0",7.18,1
"A00002244-V01","A00002244","V01","CL01","Year 0",900.91,1
"A00002244-V04","A00002244","V04","CL01","Year 0",44.21,1
"A00002250-V02","A00002250","V02","CL01","Year 0",219.34,1
"A00002253-V01","A00002253","V01","CL01","Year 0",1085.93,1
"A00002261-V01","A00002261","V01","CL01","Year 0",77.83,1
"A00002266-V01","A00002266","V01","CL01","Year 0",785.37,1
"A00002270-V01","A00002270","V01","CL01","Year 0",331.84,1
"A00002272-V01","A00002272","V01","CL01","Year 0",9198.36,1
"A00002294-V01","A00002294","V01","CL01","Year 0",2171.61,1
"A00002297-V04","A00002297","V04","CL01","Year 0",448.88,1
"A00002300-V02","A00002300","V02","CL01","Year 0",582.59,1
"A00002312-V01","A00002312","V01","CL01","Year 0",20.96,1
"A00002314-V02","A00002314","V02","CL01","Year 0",73.26,1
"A00002314-V04","A00002314","V04","CL01","Year 0",6007.14,1
"A00002314-V04","A00002314","V04","CL02","Year 0",202.8,1
"A00002316-V01","A00002316","V01","CL01","Year 0",251.1,1
"A00002317-V01","A00002317","V01","CL01","Year 0",1004.31,1
"A00002323-V01","A00002323","V01","CL01","Year 0",5274.89,1
"A00002336-V01","A00002336","V01","CL01","Year 0",318.19,1
"A00002343-V02","A00002343","V02","CL01","Year 0",7.52,1
"A00002343-V02","A00002343","V02","CL02","Year 0",32.93,1
"A00002347-V02","A00002347","V02","CL01","Year 0",220.67,1
"A00002348-V01","A00002348","V01","CL01","Year 0",203.64,1
"A00002355-V03","A00002355","V03","CL01","Year 0",12.65,1
"A00002374-V01","A00002374","V01","CL01","Year 0",1504.67,1
"A00002375-V01","A00002375","V01","CL01","Year 0",296.14,1
"A00002376-V01","A00002376","V01","CL01","Year 0",965.29,1
"A00002393-V01","A00002393","V01","CL01","Year 0",23.53,1
"A00002393-V01","A00002393","V01","CL02","Year 0",147.89,1
"A00002397-V01","A00002397","V01","CL01","Year 0",91.05,1
"A00002408-V01","A00002408","V01","CL01","Year 0",128.15,1
"A00002408-V01","A00002408","V01","CL02","Year 0",543.24,1
"A00002409-V03","A00002409","V03","CL01","Year 0",1257.06,1
"A00002437-V01","A00002437","V01","CL01","Year 0",134.29,1
"A00002438-V02","A00002438","V02","CL01","Year 0",54.06,1
"A00002439-V01","A00002439","V01","CL01","Year 0",295.75,1
"A00002441-V01","A00002441","V01","CL01","Year 0",946.09,1
"A00002454-V01","A00002454","V01","CL01","Year 0",958.86,1
"A00002470-V01","A00002470","V01","CL01","Year 0",279.89,1
"A00002483-V02","A00002483","V02","CL01","Year 0",54.49,1
"A00002486-V01","A00002486","V01","CL01","Year 0",2188.13,1
"A00002486-V01","A00002486","V01","CL02","Year 0",103.85,1
"A00002486-V02","A00002486","V02","CL01","Year 0",46.89,1
"A00002498-V03","A00002498","V03","CL01","Year 0",1750.5,1
"A00002518-V01","A00002518","V01","CL01","Year 0",940.23,1
"A00002540-V01","A00002540","V01","CL01","Year 0",138.21,1
"A00002545-V01","A00002545","V01","CL01","Year 0",-424.53,1
"A00002549-V05","A00002549","V05","CL01","Year 0",175.3,1
"A00002560-V01","A00002560","V01","CL01","Year 0",90.08,1
"A00002566-V01","A00002566","V01","CL01","Year 0",17.01,1
"A00002570-V03","A00002570","V03","CL01","Year 0",574.93,1
"A00002570-V04","A00002570","V04","CL01","Year 0",1195.76,1
"A00002575-V01","A00002575","V01","CL01","Year 0",1742.74,1
"A00002575-V01","A00002575","V01","CL02","Year 0",562.7,1
"A00002579-V02","A00002579","V02","CL01","Year 0",420.82,1
"A00002613-V01","A00002613","V01","CL01","Year 0",262.37,1
"A00002615-V01","A00002615","V01","CL01","Year 0",129.47,1
"A00002618-V02","A00002618","V02","CL01","Year 0",136.24,1
"A00002636-V01","A00002636","V01","CL01","Year 0",239.13,1
"A00002647-V02","A00002647","V02","CL01","Year 0",312.62,1
"A00002661-V02","A00002661","V02","CL01","Year 0",789.42,1
"A00002663-V01","A00002663","V01","CL01","Year 0",263.71,1
"A00002664-V03","A00002664","V03","CL01","Year 0",137.99,1
"A00002686-V02","A00002686","V02","CL01","Year 0",931.4,1
"A00002692-V01","A00002692","V01","CL01","Year 0",1211.46,1
"A00002706-V01","A00002706","V01","CL01","Year 0",4052.39,1
"A00002713-V03","A00002713","V03","CL01","Year 0",90.25,1
"A00002713-V03","A00002713","V03","CL02","Year 0",-110.24,1
"A00002726-V01","A00002726","V01","CL01","Year 0",1442.16,1
"A00002726-V02","A00002726","V02","CL01","Year 0",2293.02,1
"A00002726-V02","A00002726","V02","CL02","Year 0",205.41,1
"A00002726-V02","A00002726","V02","CL03","Year 0",542.59,1
"A00002732-V05","A00002732","V05","CL01","Year 0",736.5,1
"A00002751-V01","A00002751","V01","CL01","Year 0",89.2,1
"A00002758-V02","A00002758","V02","CL01","Year 0",121.36,1
"A00002760-V02","A00002760","V02","CL01","Year 0",257.5,1
"A00002765-V01","A00002765","V01","CL01","Year 0",253.93,1
"A00002775-V01","A00002775","V01","CL01","Year 0",100.49,1
"A00002785-V01","A00002785","V01","CL01","Year 0",4344.31,1
"A00002785-V03","A00002785","V03","CL01","Year 0",72.54,1
"A00002793-V01","A00002793","V01","CL01","Year 0",647.92,1
"A00002797-V01","A00002797","V01","CL01","Year 0",173.09,1
"A00002808-V02","A00002808","V02","CL01","Year 0",265.59,1
"A00002824-V02","A00002824","V02","CL01","Year 0",950.36,1
"A00002838-V02","A00002838","V02","CL01","Year 0",1630.5,1
"A00002840-V01","A00002840","V01","CL01","Year 0",3974.8,1
"A00002844-V02","A00002844","V02","CL01","Year 0",360.66,1
"A00002850-V01","A00002850","V01","CL01","Year 0",47.31,1
"A00002855-V02","A00002855","V02","CL01","Year 0",3394.2,1
"A00002861-V02","A00002861","V02","CL01","Year 0",38.17,1
"A00002872-V03","A00002872","V03","CL01","Year 0",378.41,1
"A00002873-V04","A00002873","V04","CL01","Year 0",400.37,1
"A00002891-V01","A00002891","V01","CL01","Year 0",5584.01,1
"A00002896-V01","A00002896","V01","CL01","Year 0",78.11,1
"A00002896-V02","A00002896","V02","CL01","Year 0",149.53,1
"A00002897-V02","A00002897","V02","CL01","Year 0",460.46,1
"A00002905-V02","A00002905","V02","CL01","Year 0",5845.21,1
"A00002911-V02","A00002911","V02","CL01","Year 0",3762.2,1
"A00002915-V04","A00002915","V04","CL01","Year 0",152.84,1
"A00002916-V01","A00002916","V01","CL01","Year 0",845.56,1
